,Restaurant_Name,Cuisine,Price for 2(approx),Rating,Location,Area,Region
530,Fat Pigeon - Bar Hop," Finger Food, Continental, North Indian, Beverages",2600,4.3,Jubilee Hills,,Central West Hyderabad
531,Subway, Fast Food,500,,Ameerpet,,Central East Hyderabad
532,Eagles Bar and Restaurant - Level 4," North Indian, Chinese",1000,,Shree Venkateshwara Hotel,Lakdi-Ka-Pul,Central Hyderabad
533,Chef Inam's Steak House," Turkish, Italian",1500,,Banjara Hills,,Central East Hyderabad
534,Shree Venkateshwara Coffee Shop," South Indian, Chinese, Fast Food",500,,Lakdi-Ka-Pul,,Central Hyderabad
535,Sweet Land Loops, Desserts,500,,Banjara Hills,,Central East Hyderabad
536,UR Life Cafe," Continental, Health Food, Beverages",1500,3.9,Film Nagar,,Central West Hyderabad
537,Taam Jhaam," Continental, North Indian, Chinese",1200,3.7,Aruna Arcade,Jubilee Hills,Central West Hyderabad
538,Absorb - The Boutique Bar," Continental, North Indian, Asian, Fast Food",2600,4,Jubilee Hills,,Central West Hyderabad
539,The Moonshine Project," North Indian, Chinese, Continental, Italian",2200,4.3,Jubilee Hills,,Central West Hyderabad
540,N Grand," North Indian, Andhra, Chinese, Beverages",900,3.1,Karkhana,,Secunderabad
541,SodaBottleOpenerWala," Iranian, Parsi, North Indian",2000,4.3,Niharika Jubilee One,Jubilee Hills,Central West Hyderabad
542,Crispy Crust," Fast Food, Desserts",500,,Lakdi-Ka-Pul,,Central Hyderabad
543,Terra Cafe and Bistro," Continental, North Indian, Thai, Beverages",1300,4.8,Jubilee Hills,,Central West Hyderabad
544,Farzi Cafe," Modern Indian, North Indian",1800,4.5,Jubilee Hills,,Central West Hyderabad
545,Sobremesa," Continental, Beverages",1500,3.7,Jubilee Hills,,Central West Hyderabad
546,Ciro's Pizzeria," Pizza, Italian",800,,Banjara Hills,,Central East Hyderabad
547,Tatva," North Indian, Chinese, Continental, Pizza, Desserts",1500,4.4,Jubilee Hills,,Central West Hyderabad
548,Simply Paranthas, North Indian,200,,Banjara Hills,,Central East Hyderabad
549,Rasna Buzz," Fast Food, Burger, Beverages, Asian",500,,Lakdi-Ka-Pul,,Central Hyderabad
550,Almond House, Desserts,500,4.5,SL Jubliee,Jubilee Hills,Central West Hyderabad
551,Sweet Land Loops," Desserts, Fast Food",500,,Aaltos A & M Trade Center,Himayath Nagar,Central Hyderabad
552,The ThickShake Factory, Beverages,400,4,Film Nagar,,Central West Hyderabad
553,The Hole in The Wall Cafe," American, Fast Food, Beverages",600,4.1,Jubilee Hills,,Central West Hyderabad
554,The Ice Cream Bakery," Desserts, Beverages",600,,Jogani,,Secunderabad
555,Heart Cup Coffee," Continental, North Indian, Asian, Beverages",2000,4.1,Jubilee Hills,,Central West Hyderabad
556,Ulavacharu," Chinese, North Indian, Andhra",1100,3.8,Jubilee Hills,,Central West Hyderabad
557,Surabhi Haveli," North Indian, Chinese",900,3.5,Mothinagar,,West Hyderabad
558,Amnesia Lounge And Bar," Finger Food, American, Asian, Desserts, Beverages",2000,3.9,Jaya Chambers,Jubilee Hills,Central West Hyderabad
559,Voila, Fusion,1300,4,Jaya Chambers,Jubilee Hills,Central West Hyderabad
560,Fries & Cones, Fast Food,300,4,Amberpet,,East Hyderabad
561,By The Bottle," North Indian, Continental, Fast Food",2100,3.9,Shreshta Aura,Jubilee Hills,Central West Hyderabad
562,Ohri's Gufaa, Desserts,500,,Basheerbagh,,Central Hyderabad
563,Moxa Kitchen," Chinese, North Indian, Continental",1200,3.9,Film Nagar,,Central West Hyderabad
564,Fonce Chocolatier," Fast Food, Continental, Beverages, Desserts",1000,4.3,Jubilee Hills,,Central West Hyderabad
565,Kritunga - The Palegar Cuisine," Andhra, North Indian, Chinese, Hyderabadi",800,,Lakdi-Ka-Pul,,Central Hyderabad
566,Subway, Fast Food,500,3.5,Jubilee Hills,,Central West Hyderabad
567,Flying Beans Café and Bistro," Burger, Pizza, Fast Food",800,4.8,Jubilee Hills,,Central West Hyderabad
568,Santosh Dhaba," North Indian, Chinese",600,3.6,Begum Bazaar,,South Hyderabad
569,U.S. Pizza," Pizza, Fast Food",600,3,Amberpet,,East Hyderabad
570,Smoky Pitara," North Indian, Continental, Chinese",1000,3.8,Sreshta Aura,Jubilee Hills,Central West Hyderabad
571,The Aahar," North Indian, Andhra, Biryani",800,4,Jubilee Hills,,Central West Hyderabad
572,Kobe Sizzlers," Continental, Asian",1200,4.2,Film Nagar,,Central West Hyderabad
573,Buffalo Wild Wings," Fast Food, Mexican, Italian, Chinese",2000,4.3,Axis Tower,Jubilee Hills,Central West Hyderabad
574,Mairu Bistro," Continental, Asian, Beverages",1200,5,Jubilee Hills,,Central West Hyderabad
575,Sandwich Eatery," Fast Food, Beverages",500,,SR Nagar,,Central East Hyderabad
576,Loventila," North Indian, Chinese, Fast Food",700,,SR Nagar,,Central East Hyderabad
577,Sapan Verma Live at Air Live, Fast Food,600,3.7,Jubilee Hills,,Central West Hyderabad
578,Biryani Premier League," Biryani, North Indian",1000,,SR Nagar,,Central East Hyderabad
579,Lucky's Arabian Mandi," North Indian, Chinese, Mughlai, Biryani",500,2.8,Padma Rao Nagar,,East Hyderabad
580,Grill 9," Arabian, Biryani, Chinese, Lebanese",800,1.6,SD Road,,Secunderabad
581,FB Cakes, Desserts,500,,Banjara Hills,,Central East Hyderabad
582,Paarma Raama, European,1000,5,Jubilee Hills,,Central West Hyderabad
583,Kaka's Grill & Kitchen," North Indian, Chinese, Mughlai",600,,SR Nagar,,Central East Hyderabad
584,Aaromale," Mexican, Italian, Beverages",1100,4.7,Film Nagar,,Central West Hyderabad
585,Cravery," Continental, Fast Food, Desserts, Beverages, Italian",800,4.4,Jubilee Hills,,Central West Hyderabad
586,House of Gourmet," Continental, Italian, Beverages",1000,4,Jubilee Hills,,Central West Hyderabad
587,Cream Stone," Desserts, Beverages",400,4.3,Sami Complex,Jubilee Hills,Central West Hyderabad
588,Subway, Fast Food,500,, Sri Nagar Colony,,Central East Hyderabad
589,SLIDERS & CO," Burger, Fast Food",400,,SD Road,,Secunderabad
590,Express By AB's," North Indian, Biryani",600,,Banjara Hills,,Central East Hyderabad
