,Restaurant_Name,Cuisine,Price for 2(approx),Rating,Location,Area,Region
995,ABs - Absolute Barbecues," North Indian, Continental",1600,4,SLN Plaza,Kompally,Secunderabad
996,Delisco," Continental, Italian, Desserts, Beverages",800,4.8,Gachibowli,,West Hyderabad
997,Dream Creamery, Desserts,400,,Cuba Food Havana,Film Nagar,Central West Hyderabad
998,Felica, Continental,800,4.3,Kothaguda,,West Hyderabad
999,Subway, Fast Food,500,5,Phoenix Tower A,Madhapur,West Hyderabad
1000,Eat Burp Repeat," Continental, Italian",500,,Cuba Food Havana,Film Nagar,Central West Hyderabad
1001,London Waffle Co., Desserts,300,,Cuba Food Havana,Film Nagar,Central West Hyderabad
1002,Roll Zone, Fast Food,200,,Cuba Food Havana,Film Nagar,Central West Hyderabad
1003,Yellolife Cafe," Italian, Health Food",1600,,Jubilee Hills,,Central West Hyderabad
1004,Brundavan Bar & Restaurant," North Indian, Chinese",1200,3.9,Dilsukh Nagar,,East Hyderabad
1005,Revel Ice cream, Desserts,200,,Jubilee Hills,,Central West Hyderabad
1006,Oh! Calcutta," Bengali, Seafood",1800,4.2,Hitech City,,West Hyderabad
1007,Kinara Grand," North Indian, Chinese",1000,2,Malkajgiri,,Secunderabad
1008,Amara," North Indian, Chinese",2500,4.3,Trident Hotel,Hitech City,West Hyderabad
1009,Tundey Kababi," Mughlai, Awadhi",500,4.5,Gachibowli,,West Hyderabad
1010,Sha Sha - Shandaar Shawarma," Lebanese, Fast Food",300,2.3,Jeedimetla,,Secunderabad
1011,Taro," Japanese, Asian, Chinese, Desserts",3500,,Jubilee Hills,,Central West Hyderabad
1012,Resign Sky Bar," Continental, Finger Food",1800,4.2,Cyber Grub,Hitech City,West Hyderabad
1013,Dough Mama," Pizza, Italian, Beverages",1000,,Jubilee Hills,,Central West Hyderabad
1014,Tea Lounge," Continental, Tea",500,5,Lemon Tree Premier,"HITEC City, Hyderabad,Hitech City",West Hyderabad
1015,Food Workshop, Fast Food,400,5,Kukatpally,,West Hyderabad
1016,Holly Jolly Eats," Asian, Chinese, Japanese",1200,3,Madhapur,,West Hyderabad
1017,Ohri's Cake Nation," Fast Food, Desserts",500,,Trimulgherry,,Secunderabad
1018,Southern Spice," South Indian, North Indian, Chinese",600,3.4,Retro Drive In,Madhapur,West Hyderabad
1019,CIBO House," Continental, Italian, European, Beverages, Desserts",1700,4.3,Phoenix Tower A,Hitech City,West Hyderabad
1020,Mainland China," Chinese, Asian",1200,4.2,Hitech City,,West Hyderabad
1021,The Punjabis Swag, North Indian,600,3.7,Madhapur,,West Hyderabad
1022,Barista," Fast Food, Beverages, Desserts",900,,Malakpet,,South Hyderabad
1023,Maggi," North Indian, Fast Food",200,,Mehdipatnam,,Central Hyderabad
1024,Ala Dakshinapuramlo Buffet," South Indian, Seafood",1500,4,Phoenix Tower A,Hitech City,West Hyderabad
1025,Apsara Ice Creams, Desserts,300,4.3,Kukatpally,,West Hyderabad
1026,Ohri's Sahib's BBQ," North Indian, Awadhi, Hyderabadi",2000,3.6,Hitech City,,West Hyderabad
1027,Itlu," South Indian, North Indian",1000,,Jubilee Hills,,Central West Hyderabad
1028,Republic of Noodles," Chinese, Asian",2100,4.7,Lemon Tree Premier,"HITEC City, Hyderabad,Hitech City",West Hyderabad
